Added Component: Designator=D16(SMA_L4.4-W2.6-LS5.0-RD)
Added Pin To Net: NetName=BAT Pin=D16-1
Added Pin To Net: NetName=VCC3V3 Pin=D16-2
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
